datetime,open,high,low,close,volume
2022-10-03 08:15:00,1663.35000,1664.27000,1662.76000,1664.25000,593
2022-10-03 08:30:00,1664.24000,1665.40000,1664.10000,1664.61000,961
2022-10-03 08:45:00,1664.61000,1667.58000,1663.90000,1666.98000,1680
2022-10-03 09:00:00,1666.99000,1668.32000,1666.55000,1668.09000,1574
2022-10-03 09:15:00,1668.10000,1668.10000,1663.12000,1663.27000,1185
2022-10-03 09:30:00,1663.09000,1664.12000,1662.55000,1662.60000,1332
2022-10-03 09:45:00,1662.59000,1663.66000,1662.15000,1663.66000,1505
2022-10-03 10:00:00,1663.66000,1666.14000,1661.92000,1663.90000,2507
2022-10-03 10:15:00,1663.90000,1667.34000,1662.66000,1662.79000,2198
2022-10-03 10:30:00,1662.78000,1664.42000,1661.87000,1662.80000,2153
2022-10-03 10:45:00,1662.80000,1664.11000,1662.36000,1663.71000,1782
2022-10-03 11:00:00,1663.74000,1663.74000,1661.12000,1662.48000,2400
2022-10-03 11:15:00,1662.49000,1665.50000,1662.08000,1665.12000,2019
2022-10-03 11:30:00,1665.12000,1665.71000,1663.78000,1664.31000,1732
2022-10-03 11:45:00,1664.29000,1664.30000,1662.60000,1663.04000,1537
2022-10-03 12:00:00,1663.05000,1663.29000,1661.93000,1662.22000,1597
2022-10-03 12:15:00,1662.21000,1663.06000,1661.00000,1661.29000,1459
2022-10-03 12:30:00,1661.29000,1661.70000,1659.72000,1660.36000,1833
2022-10-03 12:45:00,1660.42000,1661.69000,1659.79000,1661.60000,1529
2022-10-03 13:00:00,1661.60000,1664.83000,1659.72000,1663.23000,1758
2022-10-03 13:15:00,1663.22000,1664.85000,1662.89000,1664.85000,1286
2022-10-03 13:30:00,1664.85000,1665.22000,1663.99000,1664.42000,1226
2022-10-03 13:45:00,1664.42000,1666.52000,1663.63000,1665.39000,1705
2022-10-03 14:00:00,1665.40000,1666.86000,1664.08000,1664.56000,1956
2022-10-03 14:15:00,1664.58000,1665.76000,1663.81000,1664.91000,1773
2022-10-03 14:30:00,1664.91000,1666.54000,1664.65000,1665.21000,1795
2022-10-03 14:45:00,1665.22000,1666.49000,1665.03000,1666.24000,1973
2022-10-03 15:00:00,1666.25000,1667.43000,1664.85000,1665.71000,2369
2022-10-03 15:15:00,1665.66000,1669.72000,1663.89000,1668.72000,2571
2022-10-03 15:30:00,1668.71000,1670.04000,1666.73000,1668.17000,2867
2022-10-03 15:45:00,1668.30000,1669.60000,1665.45000,1665.55000,2676
2022-10-03 16:00:00,1665.52000,1669.56000,1665.35000,1669.56000,2443
2022-10-03 16:15:00,1669.54000,1674.61000,1668.61000,1668.65000,3596
2022-10-03 16:30:00,1668.65000,1670.59000,1666.61000,1668.76000,3976
2022-10-03 16:45:00,1668.76000,1671.50000,1668.40000,1669.00000,3651
2022-10-03 17:00:00,1668.98000,1680.72000,1668.98000,1678.24000,4485
2022-10-03 17:15:00,1678.18000,1686.75000,1676.58000,1685.20000,4215
2022-10-03 17:30:00,1685.19000,1691.31000,1685.19000,1686.80000,4190
2022-10-03 17:45:00,1686.83000,1688.92000,1684.93000,1687.05000,3913
2022-10-03 18:00:00,1687.04000,1694.02000,1686.88000,1691.64000,3548
2022-10-03 18:15:00,1691.64000,1694.12000,1688.97000,1689.34000,3309
2022-10-03 18:30:00,1689.34000,1690.84000,1687.67000,1690.29000,2506
2022-10-03 18:45:00,1690.29000,1692.47000,1689.50000,1690.34000,2684
2022-10-03 19:00:00,1690.34000,1693.19000,1689.86000,1690.96000,2219
2022-10-03 19:15:00,1690.96000,1691.18000,1688.41000,1688.83000,2184
2022-10-03 19:30:00,1688.87000,1690.52000,1687.30000,1690.17000,1804
2022-10-03 19:45:00,1690.19000,1691.24000,1689.64000,1691.18000,1802
2022-10-03 20:00:00,1691.24000,1693.23000,1689.97000,1692.13000,1641
2022-10-03 20:15:00,1692.13000,1693.76000,1691.02000,1693.53000,1728
2022-10-03 20:30:00,1693.54000,1697.19000,1693.09000,1695.96000,1871
2022-10-03 20:45:00,1695.94000,1697.12000,1694.67000,1695.07000,1551
2022-10-03 21:00:00,1695.07000,1696.90000,1694.54000,1696.19000,1635
2022-10-03 21:15:00,1696.19000,1697.31000,1695.10000,1697.01000,1571
2022-10-03 21:30:00,1697.01000,1698.51000,1696.79000,1698.51000,1327
2022-10-03 21:45:00,1698.52000,1700.26000,1697.66000,1699.36000,1470
2022-10-03 22:00:00,1699.36000,1699.36000,1695.31000,1696.48000,1524
2022-10-03 22:15:00,1696.28000,1698.83000,1695.46000,1697.65000,1217
2022-10-03 22:30:00,1697.68000,1699.56000,1697.42000,1699.40000,1156
2022-10-03 22:45:00,1699.41000,1701.51000,1699.21000,1700.85000,1432
2022-10-03 23:00:00,1700.83000,1701.21000,1699.99000,1700.25000,934
2022-10-03 23:15:00,1700.25000,1700.29000,1699.60000,1699.87000,547
2022-10-03 23:30:00,1699.90000,1700.03000,1698.68000,1698.87000,437
2022-10-03 23:45:00,1698.92000,1699.76000,1698.50000,1699.62000,385
2022-10-04 01:00:00,1698.70000,1699.49000,1698.23000,1699.16000,279
2022-10-04 01:15:00,1699.11000,1699.24000,1698.17000,1698.68000,190
2022-10-04 01:30:00,1698.68000,1701.69000,1698.51000,1700.22000,531
2022-10-04 01:45:00,1700.22000,1701.59000,1699.97000,1700.50000,350
2022-10-04 02:00:00,1700.43000,1701.53000,1700.13000,1700.74000,300
2022-10-04 02:15:00,1700.74000,1702.59000,1700.67000,1701.58000,497
2022-10-04 02:30:00,1701.52000,1702.27000,1700.77000,1700.87000,432
2022-10-04 02:45:00,1700.77000,1701.56000,1700.33000,1700.99000,835
2022-10-04 03:00:00,1700.98000,1701.24000,1699.31000,1699.58000,1087
2022-10-04 03:15:00,1699.58000,1700.03000,1697.62000,1698.29000,858
2022-10-04 03:30:00,1698.29000,1698.88000,1697.92000,1698.50000,876
2022-10-04 03:45:00,1698.54000,1698.84000,1697.73000,1698.69000,954
2022-10-04 04:00:00,1698.78000,1699.48000,1697.03000,1697.22000,997
2022-10-04 04:15:00,1697.24000,1697.70000,1696.26000,1696.74000,1203
2022-10-04 04:30:00,1696.72000,1696.95000,1695.99000,1696.44000,930
2022-10-04 04:45:00,1696.42000,1697.28000,1695.52000,1695.67000,637
2022-10-04 05:00:00,1695.68000,1696.46000,1695.24000,1696.35000,680
2022-10-04 05:15:00,1696.31000,1697.33000,1695.89000,1696.31000,651
2022-10-04 05:30:00,1696.30000,1697.43000,1696.21000,1696.94000,618
2022-10-04 05:45:00,1696.94000,1696.94000,1695.53000,1696.35000,656
2022-10-04 06:00:00,1696.36000,1696.86000,1695.68000,1696.40000,775
2022-10-04 06:15:00,1696.43000,1696.65000,1695.66000,1695.72000,522
2022-10-04 06:30:00,1695.80000,1700.40000,1695.31000,1700.17000,2131
2022-10-04 06:45:00,1700.18000,1700.35000,1698.34000,1699.76000,1679
2022-10-04 07:00:00,1699.80000,1699.87000,1697.85000,1698.19000,1424
2022-10-04 07:15:00,1698.19000,1699.85000,1697.42000,1698.96000,1010
2022-10-04 07:30:00,1698.92000,1701.42000,1698.89000,1700.21000,1065
2022-10-04 07:45:00,1700.21000,1700.79000,1698.27000,1699.76000,1139
2022-10-04 08:00:00,1699.76000,1700.28000,1699.23000,1699.89000,838
2022-10-04 08:15:00,1699.81000,1699.82000,1698.15000,1698.18000,803
2022-10-04 08:30:00,1698.17000,1700.09000,1697.60000,1700.01000,854
2022-10-04 08:45:00,1700.01000,1704.22000,1699.75000,1703.25000,1541
2022-10-04 09:00:00,1703.26000,1703.80000,1701.90000,1702.37000,1592
2022-10-04 09:15:00,1702.38000,1703.71000,1701.92000,1702.43000,1388
2022-10-04 09:30:00,1702.44000,1704.95000,1702.20000,1704.50000,1782
2022-10-04 09:45:00,1704.52000,1706.80000,1704.31000,1706.07000,1984
2022-10-04 10:00:00,1706.08000,1709.40000,1704.92000,1709.10000,2520
2022-10-04 10:15:00,1709.09000,1710.58000,1707.59000,1708.55000,2514
2022-10-04 10:30:00,1708.62000,1710.68000,1707.82000,1709.91000,2295
2022-10-04 10:45:00,1709.91000,1710.51000,1707.46000,1708.17000,2063
2022-10-04 11:00:00,1708.17000,1710.24000,1707.13000,1708.54000,1948
2022-10-04 11:15:00,1708.57000,1709.06000,1706.04000,1707.15000,2120
2022-10-04 11:30:00,1707.13000,1708.88000,1706.46000,1707.22000,1964
2022-10-04 11:45:00,1707.23000,1709.39000,1706.70000,1708.90000,1751
2022-10-04 12:00:00,1708.91000,1709.77000,1705.63000,1706.35000,2065
2022-10-04 12:15:00,1706.31000,1708.55000,1705.96000,1708.24000,1736
2022-10-04 12:30:00,1708.19000,1709.66000,1707.52000,1709.25000,2030
2022-10-04 12:45:00,1709.25000,1709.91000,1708.17000,1708.35000,1480
2022-10-04 13:00:00,1708.34000,1709.57000,1707.47000,1708.57000,1728
2022-10-04 13:15:00,1708.60000,1712.58000,1708.02000,1710.56000,1762
2022-10-04 13:30:00,1710.50000,1711.49000,1709.70000,1709.86000,1485
2022-10-04 13:45:00,1709.86000,1710.11000,1705.94000,1706.08000,1646
2022-10-04 14:00:00,1706.02000,1706.45000,1701.72000,1702.16000,2325
2022-10-04 14:15:00,1702.12000,1703.41000,1700.51000,1701.12000,2107
2022-10-04 14:30:00,1701.09000,1705.39000,1701.09000,1705.34000,1888
2022-10-04 14:45:00,1705.34000,1705.95000,1703.00000,1705.89000,1683
2022-10-04 15:00:00,1705.86000,1706.11000,1704.09000,1705.92000,2260
2022-10-04 15:15:00,1705.93000,1709.09000,1705.61000,1708.87000,2839
2022-10-04 15:30:00,1708.87000,1710.02000,1707.43000,1709.55000,2583
2022-10-04 15:45:00,1709.55000,1713.22000,1708.25000,1711.95000,2656
2022-10-04 16:00:00,1711.94000,1713.99000,1710.63000,1712.63000,2330
2022-10-04 16:15:00,1712.58000,1712.94000,1708.67000,1708.84000,2199
2022-10-04 16:30:00,1708.84000,1710.45000,1706.40000,1706.81000,3502
2022-10-04 16:45:00,1706.87000,1711.09000,1706.82000,1709.98000,3196
2022-10-04 17:00:00,1710.05000,1717.68000,1710.05000,1714.23000,3967
2022-10-04 17:15:00,1714.22000,1714.39000,1711.56000,1712.45000,2964
2022-10-04 17:30:00,1712.39000,1719.84000,1712.38000,1718.89000,3278
2022-10-04 17:45:00,1718.89000,1722.60000,1717.99000,1720.74000,3196
2022-10-04 18:00:00,1720.74000,1725.03000,1720.10000,1724.41000,2811
2022-10-04 18:15:00,1724.41000,1726.30000,1723.65000,1725.99000,2683
