time_close,type,volume,price_open,price_close,sl,tp,profit,swap,commission,comment
2026.03.18 14:57,SELL_close,0.50,1.15,1.15,1.15,1.15,23.50,0.00,0.00,tp 1.15082
2026.03.18 15:59,SELL_close,0.50,1.15,1.15,1.15,1.15,-75.50,0.00,0.00,sl 1.15149
2026.03.19 19:18,BUY_close,0.50,1.15,1.15,1.15,1.15,41.50,0.00,0.00,tp 1.15486
2026.03.19 21:02,BUY_close,0.50,1.16,1.16,1.15,1.16,175.50,0.00,0.00,tp 1.15926
2026.03.20 17:23,SELL_close,0.50,1.15,1.16,1.16,1.15,-132.50,0.00,0.00,sl 1.15566
2026.03.23 13:47,BUY_close,0.50,1.16,1.16,1.16,1.16,-80.00,0.00,0.00,sl 1.15665
2026.04.03 17:00,SELL_close,0.50,1.15,1.15,1.15,1.15,-43.00,0.00,0.00,sl 1.15362
2026.04.09 15:21,BUY_close,0.50,1.17,1.17,1.17,1.17,-41.00,0.00,0.00,sl 1.16814
2026.04.09 20:06,BUY_close,0.50,1.17,1.17,1.17,1.17,14.00,0.00,0.00,tp 1.17167
2026.04.10 19:41,BUY_close,0.50,1.17,1.17,1.17,1.17,-47.00,0.00,0.00,sl 1.17150
2026.04.13 18:30,BUY_close,0.50,1.17,1.17,1.17,1.17,-62.00,0.00,0.00,sl 1.17033
2026.04.14 10:02,BUY_close,0.50,1.17,1.18,1.17,1.18,169.50,-0.35,0.00,tp 1.17832
2026.04.23 03:16,SELL_close,0.50,1.17,1.17,1.17,1.17,130.50,-1.50,0.00,tp 1.16925
2026.04.29 17:34,SELL_close,0.50,1.17,1.17,1.17,1.17,-53.00,0.00,0.00,sl 1.16949
2026.04.30 00:01,SELL_close,0.50,1.17,1.17,1.17,1.17,-60.50,-1.50,0.00,sl 1.16867
2026.05.11 16:12,BUY_close,0.50,1.18,1.18,1.18,1.18,4.00,0.00,0.00,tp 1.17843
2026.05.14 17:59,SELL_close,0.50,1.17,1.17,1.17,1.17,80.00,0.00,0.00,tp 1.16798
2026.05.21 16:32,SELL_close,0.50,1.16,1.16,1.16,1.16,7.50,0.00,0.00,tp 1.15862
2026.05.21 16:52,SELL_close,0.50,1.16,1.16,1.16,1.16,-59.50,0.00,0.00,sl 1.15925
2026.06.01 00:00,BUY_close,0.50,1.17,1.17,1.17,1.17,-68.50,-0.35,0.00,sl 1.16524
2026.06.02 23:03,SELL_close,0.50,1.16,1.16,1.16,1.16,-49.50,0.00,0.00,sl 1.16339
2026.06.05 17:06,SELL_close,0.50,1.16,1.16,1.16,1.16,192.50,0.00,0.00,tp 1.15697
2026.06.12 04:11,BUY_close,0.50,1.16,1.16,1.16,1.16,-51.00,-0.35,0.00,sl 1.15624
2026.06.25 14:30,SELL_close,0.50,1.13,1.13,1.14,1.13,42.00,0.00,0.00,tp 1.13372
2026.07.01 15:39,SELL_close,0.50,1.14,1.14,1.14,1.14,71.50,0.00,0.00,tp 1.13708
2026.07.15 15:09,BUY_close,0.50,1.15,1.14,1.14,1.15,-230.50,-0.35,0.00,sl 1.14067
2026.07.16 15:55,BUY_close,0.50,1.15,1.15,1.15,1.15,-66.00,-1.05,0.00,sl 1.14504
2026.07.22 05:27,SELL_close,0.50,1.14,1.14,1.14,1.14,-36.00,-0.50,0.00,sl 1.14087
2026.07.28 21:11,BUY_close,0.50,1.14,1.14,1.14,1.14,-71.00,0.00,0.00,sl 1.13882
2026.07.29 16:16,SELL_close,0.50,1.14,1.14,1.14,1.14,-31.50,0.00,0.00,sl 1.13827
2026.08.04 18:14,BUY_close,0.50,1.15,1.15,1.15,1.15,-48.00,0.00,0.00,sl 1.15184
2026.08.07 15:29,BUY_close,0.50,1.15,1.15,1.15,1.16,-47.00,0.00,0.00,sl 1.15270
2026.09.04 16:46,SELL_close,0.50,1.16,1.16,1.16,1.16,-113.50,0.00,0.00,sl 1.16202
2026.09.10 15:30,SELL_close,0.50,1.16,1.16,1.16,1.16,-47.50,0.00,0.00,sl 1.16262
