time_ms,rate
1664755200000,-2.23e-05
1664784000014,2.229e-05
1664812800010,-9.98e-06
1664841600006,7.858e-05
1664870400004,0.0001
1664899200013,3.575e-05
1664928000000,1.819e-05
1664956800000,3.45e-06
1664985600012,-3.017e-05
1665014400008,2.418e-05
1665043200002,5.188e-05
1665072000006,-1.15e-05
1665100800000,2.157e-05
1665129600000,3.248e-05
1665158400007,3.9e-06
1665187200010,5.904e-05
1665216000004,6.993e-05
1665244800018,8.939e-05
1665273600000,3.902e-05
1665302400007,1.819e-05
1665331200011,-5.165e-05
1665360000018,4.749e-05
1665388800000,2.784e-05
1665417600026,2.352e-05
1665446400020,7.133e-05
1665475200027,3.552e-05
1665504000000,4.405e-05
1665532800014,8.85e-05
1665561600000,-1.598e-05
1665590400000,7.18e-06
1665619200013,-0.00018211
1665648000016,8.18e-05
1665676800009,-0.00010154
1665705600020,2e-06
1665734400000,0.0001
1665763200009,0.0001
1665792000001,5.95e-05
1665820800005,-5.48e-06
1665849600004,-8.01e-06
1665878400012,2.73e-06
1665907200000,-1.934e-05
1665936000010,1.261e-05
1665964800012,7.5e-06
1665993600010,3.595e-05
1666022400017,5.61e-05
1666051200010,6.43e-05
1666080000008,5.818e-05
1666108800000,8.2e-05
1666137600007,6.911e-05
1666166400022,0.0001
1666195200016,3.885e-05
1666224000000,1.115e-05
1666252800013,6.032e-05
1666281600000,-5.194e-05
1666310400005,0.0001
1666339200018,1.939e-05
1666368000000,2.595e-05
1666396800000,2.568e-05
1666425600015,-7.96e-06
1666454400000,-3.726e-05
1666483200025,1.025e-05
1666512000000,2.352e-05
1666540800004,0.0001
1666569600009,9.274e-05
1666598400012,0.0001
1666627200002,-2.685e-05
1666656000013,-5.643e-05
1666684800013,3.537e-05
1666713600000,1.973e-05
1666742400006,0.0001
1666771200013,-2.452e-05
1666800000000,0.0001
1666828800009,8.299e-05
1666857600006,5.005e-05
1666886400009,-3.37e-05
1666915200000,2.272e-05
1666944000000,4.042e-05
1666972800007,1.87e-05
1667001600000,6.207e-05
1667030400003,8.203e-05
1667059200010,0.0001
1667088000000,7.735e-05
1667116800013,9.296e-05
1667145600009,0.0001
1667174400012,6.308e-05
