close_time,type,volume,price,sl,tp,profit,swap,commission,comment
2025.11.24 16:12,SELL_close,0.17,4082.15,4082.10,3998.36,-83.64,0.00,0.00,sl 4082.10
2025.11.25 19:33,SELL_close,0.06,4156.03,4155.41,4022.61,-85.80,0.00,0.00,sl 4155.41
2025.12.01 03:54,BUY_close,0.02,4245.41,4050.53,4245.39,329.24,-1.76,0.00,tp 4245.39
2025.12.05 07:28,SELL_close,0.04,4220.13,4219.88,4136.70,-82.08,-0.18,0.00,sl 4219.88
2025.12.09 18:11,SELL_close,0.05,4219.61,4219.55,4153.90,-76.45,0.00,0.00,sl 4219.55
2025.12.09 18:11,SELL_close,0.05,4220.13,4219.96,4153.90,-79.05,0.00,0.00,sl 4219.96
2025.12.15 18:37,BUY_close,0.08,4285.97,4285.98,4353.51,-82.08,0.00,0.00,sl 4285.98
2025.12.24 02:05,SELL_close,0.05,4511.61,4500.71,4271.54,-125.75,-0.23,0.00,sl 4500.71
2025.12.24 02:05,SELL_close,0.05,4511.61,4500.66,4271.54,-125.75,-0.23,0.00,sl 4500.66
2025.12.30 21:52,BUY_close,0.03,4346.52,4346.53,4549.92,-69.33,0.00,0.00,sl 4346.53
2025.12.30 21:52,BUY_close,0.03,4346.41,4346.44,4549.92,-69.66,0.00,0.00,sl 4346.44
2025.12.31 18:41,BUY_close,0.13,4319.37,4319.51,4549.92,-81.64,0.00,0.00,sl 4319.51
2026.01.08 18:38,SELL_close,0.06,4463.61,4463.61,4274.49,-81.48,0.00,0.00,sl 4463.61
2026.01.08 18:39,SELL_close,0.05,4463.86,4463.83,4274.49,-77.45,0.00,0.00,sl 4463.83
2026.01.08 22:27,SELL_close,0.06,4472.10,4472.00,4274.49,-85.08,-0.83,0.00,sl 4472.00
2026.01.09 15:21,SELL_close,0.13,4470.12,4470.06,4274.49,-83.07,0.00,0.00,sl 4470.06
2026.01.13 16:44,SELL_close,0.12,4624.37,4624.37,4274.49,-78.96,0.00,0.00,sl 4624.37
2026.01.14 05:39,SELL_close,0.04,4624.25,4624.09,4274.49,-69.36,-0.18,0.00,sl 4624.09
2026.01.14 17:22,SELL_close,0.13,4625.06,4624.87,4274.49,-83.20,0.00,0.00,sl 4624.87
2026.01.16 17:29,BUY_close,0.03,4566.28,4566.35,4634.60,-73.89,-0.38,0.00,sl 4566.35
2026.01.19 01:00,SELL_close,0.02,4637.18,4637.09,4407.73,-63.58,-0.18,0.00,sl 4637.09
2026.01.27 16:16,BUY_close,0.03,5054.48,5054.85,5111.03,-74.73,0.00,0.00,sl 5054.85
2026.01.27 22:03,SELL_close,0.02,5120.11,5117.62,4536.85,-73.48,0.00,0.00,sl 5117.62
2026.02.12 18:14,BUY_close,0.01,4975.00,4975.05,5598.03,-57.31,-0.51,0.00,sl 4975.05
2026.02.12 18:14,BUY_close,0.01,4974.54,4974.64,5598.03,-57.77,-0.51,0.00,sl 4974.64
2026.02.17 02:52,BUY_close,0.05,4958.16,4961.35,5119.13,-99.00,-0.63,0.00,sl 4961.35
2026.02.17 02:52,BUY_close,0.04,4958.16,4960.75,5119.13,-79.20,-0.50,0.00,sl 4960.75
2026.02.19 17:29,SELL_close,0.02,5015.05,5015.05,4841.48,-64.26,0.00,0.00,sl 5015.05
2026.02.23 01:00,BUY_close,0.03,5109.54,4957.30,5100.09,374.73,-0.76,0.00,tp 5100.09
2026.02.23 01:00,BUY_close,0.01,5109.54,4957.39,5100.09,84.18,-0.13,0.00,tp 5100.09
2026.02.23 01:00,BUY_close,0.01,5109.54,4957.18,5100.09,84.18,-0.13,0.00,tp 5100.09
2026.02.27 18:11,BUY_close,0.01,5250.52,5115.45,5249.76,76.37,-0.13,0.00,tp 5249.76
2026.02.27 18:11,BUY_close,0.01,5250.52,5115.49,5249.76,76.37,-0.13,0.00,tp 5249.76
